"chimp_id","year","network_sex","behavior","network_type","bt","ec","deg","trans","sex","mother_id","father_id","dobc","dfs","dls","age_mid_year","avg_rank","rank_class","days_cycling","days_obs","prop_cyc"
"GG",2016,"female","total_grooming","undirected",0,0,0.596421471172962,0,"F","GS","AJ?",2002-07-02,2005-01-19,NA,13.9986310746064,0.108583788472678,"lo",0,80,0
"LN",2016,"female","total_grooming","undirected",0,0.543811192960987,1.11879830466218,1,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,20.8733744010951,0.295503187789617,"lo",10,72,0.138888888888889
"ML",2016,"female","total_grooming","undirected",0,0,0.29585798816568,0,"F",NA,NA,1996-01-18,2009-01-14,NA,20.4517453798768,0.566586976062841,"med",0,195,0
"NP",2016,"female","total_grooming","undirected",16,0.87097854761339,2.82592072566755,0.232348602267154,"F","NL","LK",2000-02-09,2000-02-11,NA,16.3915126625599,0.186919398743169,"lo",0,195,0
"OT",2016,"female","total_grooming","undirected",6,0.080865045064527,1.23800903243727,0,"F","OU","ST",1998-02-13,1998-02-13,NA,18.3791923340178,0.490960837898907,"med",0,98,0
"OU",2016,"female","total_grooming","undirected",0,0.017565445484612,0.624512099921936,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,36.5475701574264,1,"hi",0,97,0
"PO",2016,"female","total_grooming","undirected",0,0.161469917856064,0.364963503649635,0,"F",NA,NA,1998-03-04,2011-03-01,NA,18.3271731690623,0.363274134696721,"med",12,124,0.0967741935483871
"QT",2016,"female","total_grooming","undirected",10,0.29868418102337,1.22325303007631,0,"F",NA,NA,1992-06-20,2005-06-17,NA,24.0301163586585,0.634357923579235,"med",0,150,0
"RD",2016,"female","total_grooming","undirected",0,1,2.44161115073084,0.658746366762286,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,20.7091033538672,0,"lo",2,76,0.0263157894736842
"TG",2016,"female","total_grooming","undirected",0,0,0.29585798816568,0,"F",NA,NA,1980-05-17,1993-05-14,NA,36.1232032854209,0.932229053057377,"hi",0,197,0
"UM",2016,"female","total_grooming","undirected",0,0,0.596421471172962,0,"F",NA,NA,1982-12-31,1995-12-28,NA,33.5003422313484,0.769899818002732,"hi",0,129,0
"WA",2016,"female","total_grooming","undirected",0,0.19879045328327,0,0,"F",NA,NA,1991-11-29,2004-11-25,NA,24.5886379192334,0.111122495516393,"lo",0,77,0
"WL",2016,"female","total_grooming","undirected",0,0.19879045328327,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,23.6769336071184,0.864458105576503,"hi",0,131,0
"AL",2017,"female","total_grooming","undirected",0,0.187713070660422,0.929866173889365,1,"F",NA,NA,1981-04-24,1994-04-21,NA,36.186173853525,0.705410205994521,"hi",0,193,0
"DL",2017,"female","total_grooming","undirected",14,0.51371448071078,3.84318850524872,0.281097899524175,"F",NA,NA,2003-01-07,2016-01-04,NA,14.4804928131417,0.429670329848485,"med",140,259,0.540540540540541
"FS",2017,"female","total_grooming","undirected",0,0.69768643309565,1.72413793103448,0,"F",NA,NA,2004-02-08,2017-02-04,NA,13.3935660506502,0.163945578246032,"lo",29,201,0.144278606965174
"GG",2017,"female","total_grooming","undirected",0,0.0418394971864008,0,0,"F","GS","AJ?",2002-07-02,2005-01-19,NA,14.9979466119097,0.00254403129589041,"lo",0,75,0
"JU",2017,"female","total_grooming","undirected",0,0.0418394971864008,0,0,"F",NA,NA,2003-10-16,2016-10-12,NA,13.7084188911704,0.454938271805556,"med",98,182,0.538461538461538
"LN",2017,"female","total_grooming","undirected",0,0.318699419920406,1.74118587999883,1,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,21.8726899383984,0.238515730873973,"lo",22,106,0.207547169811321
"ML",2017,"female","total_grooming","undirected",3,0.121288368313253,0.507067707230949,0.67815024579066,"F",NA,NA,1996-01-18,2009-01-14,NA,21.45106091718,0.583916904726027,"med",0,222,0
"NP",2017,"female","total_grooming","undirected",57,0.698497633455802,3.5221167945035,0.24718003244706,"F","NL","LK",2000-02-09,2000-02-11,NA,17.3908281998631,0.150021576641096,"lo",0,200,0
"OM",2017,"female","total_grooming","undirected",10,0.745522690570185,2.3316693467195,0.617452359853,"F","OU","TU",2005-06-23,2005-06-30,NA,12.0219028062971,0.328813287326027,"med",6,172,0.0348837209302326
"OT",2017,"female","total_grooming","undirected",10,0.785112062066533,2.88720347256639,0.363574297953815,"F","OU","ST",1998-02-13,1998-02-13,NA,19.378507871321,0.547764564328767,"med",0,188,0
"OU",2017,"female","total_grooming","undirected",0,0.659462735852015,2.12440103629319,1,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,37.5468856947296,1,"hi",0,97,0
"PO",2017,"female","total_grooming","undirected",0,0.286584072724607,1.58320379133096,1,"F",NA,NA,1998-03-04,2011-03-01,NA,19.3264887063655,0.409891113369863,"med",58,192,0.302083333333333
"QT",2017,"female","total_grooming","undirected",0,0.293339504846188,1.19591869018429,1,"F",NA,NA,1992-06-20,2005-06-17,NA,25.0294318959617,0.724383561580822,"hi",13,238,0.0546218487394958
"TG",2017,"female","total_grooming","undirected",1,0.272365835307856,1.49441604597496,0.672467354643647,"F",NA,NA,1980-05-17,1993-05-14,NA,37.1225188227242,0.960138491852055,"hi",0,223,0
"UM",2017,"female","total_grooming","undirected",13,1,3.70466839978427,0.287163141157175,"F",NA,NA,1982-12-31,1995-12-28,NA,34.4996577686516,0.830743138219178,"hi",0,185,0
"WA",2017,"female","total_grooming","undirected",10,0.194554046818085,0.542449768741503,1,"F",NA,NA,1991-11-29,2004-11-25,NA,25.5879534565366,0.0847759544657534,"lo",0,196,0
"WL",2017,"female","total_grooming","undirected",0,0.033652788523248,0.163132137030995,0,"F",NA,NA,1992-10-27,2005-10-24,NA,24.6762491444216,0.876810677865753,"hi",3,227,0.013215859030837
"AJ",2010,"male","total_grooming","undirected",8,0.775139462810542,25.9004316369911,0.902875223660506,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,35.9972621492129,0.723051332009589,"hi",NA,NA,NA
"BB",2010,"male","total_grooming","undirected",0,0.727085204568535,28.6636547759108,0.756420787047759,"M",NA,NA,1966-07-02,1983-07-02,NA,43.9972621492129,0.817528225156164,"hi",NA,NA,NA
"ES",2010,"male","total_grooming","undirected",7,0.0397569116232351,2.12982188271751,0.551146277891862,"M","EK","AJ",1994-07-02,1996-03-03,NA,15.9972621492129,0.350666867552055,"med",NA,NA,NA
"KK",2010,"male","total_grooming","undirected",0,0.88816007693364,31.2916361008648,0.863576364566256,"M","KL",NA,1985-07-15,1985-07-02,2013-05-24,24.9609856262834,1,"hi",NA,NA,NA
"LK",2010,"male","total_grooming","undirected",0,0.829915340575642,31.0490986311869,0.803803138455687,"M","LP",NA,1983-07-02,1983-07-02,NA,26.9979466119097,0.912625319830137,"hi",NA,NA,NA
"MS",2010,"male","total_grooming","undirected",9,1,36.0989674928716,0.862003642652271,"M","FG",NA,1975-07-02,1983-07-02,2010-10-29,34.9979466119097,0.828304528971514,"hi",NA,NA,NA
"PB",2010,"male","total_grooming","undirected",38,0.181835488087513,6.9668408658602,0.745308974273539,"M","PU",NA,1995-01-24,1995-02-24,NA,15.4332648870637,0.264272166346575,"lo",NA,NA,NA
"PG",2010,"male","total_grooming","undirected",0,0.717648870851769,26.3024041044862,0.948650747234996,"M","PU",NA,1988-11-11,1988-12-24,2013-05-24,21.6344969199179,0.625560740508219,"med",NA,NA,NA
"ST",2010,"male","total_grooming","undirected",8,0.606449518698177,22.4763947197573,0.857494156969087,"M",NA,NA,1955-07-02,1983-07-02,2013-06-01,54.9979466119097,0.470200210821918,"med",NA,NA,NA
"TU",2010,"male","total_grooming","undirected",0,0.525230001674836,21.2135062992224,0.790016032135655,"M",NA,NA,1960-07-02,1983-07-02,2014-02-05,49.9958932238193,0.59687942170137,"med",NA,NA,NA
"YB",2010,"male","total_grooming","undirected",0,0.858102217734196,28.8098155280063,0.920067787631022,"M",NA,NA,1973-07-02,1983-07-02,NA,36.9965776865161,0.449632696439726,"med",NA,NA,NA
"AJ",2011,"male","total_grooming","undirected",20,0.4723256146918,10.3189274787353,0.949106182888098,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,36.9965776865161,0.830528375750685,"hi",NA,NA,NA
"BB",2011,"male","total_grooming","undirected",0,0.851914073840369,19.9245040432243,0.862187262520036,"M",NA,NA,1966-07-02,1983-07-02,NA,44.9965776865161,0.813111546109589,"hi",NA,NA,NA
"ES",2011,"male","total_grooming","undirected",23,0.0635519982098983,1.60532392413054,0.830029227658372,"M","EK","AJ",1994-07-02,1996-03-03,NA,16.9965776865161,0.61487279839452,"med",NA,NA,NA
"KK",2011,"male","total_grooming","undirected",0,0.914983078056582,22.1880240677576,0.821004571104017,"M","KL",NA,1985-07-15,1985-07-02,2013-05-24,25.9603011635866,1,"hi",NA,NA,NA
"LK",2011,"male","total_grooming","undirected",9,0.986225970348702,25.9009014592965,0.688506935525063,"M","LP",NA,1983-07-02,1983-07-02,NA,27.9972621492129,0.928571429,"hi",NA,NA,NA
"PB",2011,"male","total_grooming","undirected",0,0.430221140768464,12.0360860513532,1,"M","PU",NA,1995-01-24,1995-02-24,NA,16.4325804243669,0.285714286,"lo",NA,NA,NA
"PG",2011,"male","total_grooming","undirected",2,0.704740421448975,22.7170759809919,0.435097417748615,"M","PU",NA,1988-11-11,1988-12-24,2013-05-24,22.6338124572211,0.683365949019178,"hi",NA,NA,NA
"ST",2011,"male","total_grooming","undirected",0,1,22.8974686699072,0.938854208592014,"M",NA,NA,1955-07-02,1983-07-02,2013-06-01,55.9972621492129,0.497847358134247,"med",NA,NA,NA
"TJ",2011,"male","total_grooming","undirected",17,0.551478381925828,12.8498947358606,0.773589132832141,"M","TG","AJ",1995-08-13,1995-08-13,NA,15.8822724161533,0.357142857,"med",NA,NA,NA
